2017/01/26 15:37:32 [error] 13819#0: *1 open() "/home/matv/nginx/html/pictures/01.jpg" failed (2: No such file or directory), client: 192.168.122.173, server: 192.168.122.173, request: "GET /pictures/01.jpg HTTP/1.1", host: "192.168.122.173:8080", referrer: "http://192.168.122.173:8080/"
2017/01/26 15:37:32 [error] 13819#0: *1 open() "/home/matv/nginx/html/pictures/01.jpg" failed (2: No such file or directory), client: 192.168.122.173, server: 192.168.122.173, request: "GET /pictures/01.jpg HTTP/1.1", host: "192.168.122.173:8080", referrer: "http://192.168.122.173:8080/"
2017/01/26 15:37:32 [error] 13819#0: *1 open() "/home/matv/nginx/html/pictures/01.jpg" failed (2: No such file or directory), client: 192.168.122.173, server: 192.168.122.173, request: "GET /pictures/01.jpg HTTP/1.1", host: "192.168.122.173:8080", referrer: "http://192.168.122.173:8080/"
2017/01/26 15:37:32 [error] 13819#0: *1 open() "/home/matv/nginx/html/pictures/01.jpg" failed (2: No such file or directory), client: 192.168.122.173, server: 192.168.122.173, request: "GET /pictures/01.jpg HTTP/1.1", host: "192.168.122.173:8080", referrer: "http://192.168.122.173:8080/"
2017/01/26 15:37:32 [error] 13819#0: *1 open() "/home/matv/nginx/html/pictures/01.jpg" failed (2: No such file or directory), client: 192.168.122.173, server: 192.168.122.173, request: "GET /pictures/01.jpg HTTP/1.1", host: "192.168.122.173:8080", referrer: "http://192.168.122.173:8080/"
2017/01/26 15:37:32 [error] 13819#0: *1 open() "/home/matv/nginx/html/pictures/01.jpg" failed (2: No such file or directory), client: 192.168.122.173, server: 192.168.122.173, request: "GET /pictures/01.jpg HTTP/1.1", host: "192.168.122.173:8080", referrer: "http://192.168.122.173:8080/"
2017/01/26 15:37:32 [error] 13819#0: *1 open() "/home/matv/nginx/html/pictures/01.jpg" failed (2: No such file or directory), client: 192.168.122.173, server: 192.168.122.173, request: "GET /pictures/01.jpg HTTP/1.1", host: "192.168.122.173:8080", referrer: "http://192.168.122.173:8080/"
2017/01/26 15:37:32 [error] 13819#0: *1 open() "/home/matv/nginx/html/pictures/01.jpg" failed (2: No such file or directory), client: 192.168.122.173, server: 192.168.122.173, request: "GET /pictures/01.jpg HTTP/1.1", host: "192.168.122.173:8080", referrer: "http://192.168.122.173:8080/"
2017/01/26 15:37:33 [error] 13819#0: *1 open() "/home/matv/nginx/html/pictures/01.jpg" failed (2: No such file or directory), client: 192.168.122.173, server: 192.168.122.173, request: "GET /pictures/01.jpg HTTP/1.1", host: "192.168.122.173:8080", referrer: "http://192.168.122.173:8080/"
2017/01/26 15:37:33 [error] 13819#0: *1 open() "/home/matv/nginx/html/pictures/01.jpg" failed (2: No such file or directory), client: 192.168.122.173, server: 192.168.122.173, request: "GET /pictures/01.jpg HTTP/1.1", host: "192.168.122.173:8080", referrer: "http://192.168.122.173:8080/"
